,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
67,53.0,Private,169846.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40.0,United-States,>50K
68,49.0,Self-emp-inc,191681.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
69,25.0,,200681.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,40.0,United-States,<=50K
70,19.0,Private,101509.0,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32.0,United-States,<=50K
71,31.0,Private,309974.0,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40.0,United-States,<=50K
73,23.0,Private,211678.0,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
74,78.0,Private,124744.0,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20.0,United-States,<=50K
75,27.0,Private,213921.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40.0,Mexico,<=50K
76,40.0,Private,32214.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,<=50K
78,18.0,Private,309634.0,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22.0,United-States,<=50K
79,31.0,Local-gov,125927.0,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40.0,United-States,<=50K
80,18.0,Private,446839.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30.0,United-States,<=50K
81,52.0,Private,276515.0,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,Cuba,<=50K
82,46.0,Private,51618.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40.0,United-States,<=50K
83,59.0,Private,159937.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48.0,United-States,<=50K
84,44.0,Private,343591.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40.0,United-States,>50K
85,53.0,Private,346253.0,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35.0,United-States,<=50K
86,49.0,Local-gov,268234.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,>50K
87,33.0,Private,202051.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,<=50K
88,30.0,Private,54334.0,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
89,43.0,Federal-gov,410867.0,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50.0,United-States,>50K
90,57.0,Private,249977.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,<=50K
91,37.0,Private,286730.0,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40.0,United-States,<=50K
92,28.0,Private,212563.0,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25.0,United-States,<=50K
93,30.0,Private,117747.0,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35.0,,<=50K
94,34.0,Local-gov,226296.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,>50K
95,29.0,Local-gov,115585.0,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
96,48.0,Self-emp-not-inc,191277.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60.0,United-States,>50K
97,37.0,Private,202683.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48.0,United-States,>50K
98,48.0,Private,171095.0,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40.0,England,<=50K
99,32.0,Federal-gov,249409.0,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40.0,United-States,<=50K
100,76.0,Private,124191.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,>50K
101,44.0,Private,198282.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60.0,United-States,>50K
102,47.0,Self-emp-not-inc,149116.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
103,20.0,Private,188300.0,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40.0,United-States,<=50K
104,29.0,Private,103432.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
105,32.0,Self-emp-inc,317660.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40.0,United-States,>50K
106,17.0,,304873.0,10th,6,Never-married,,Own-child,White,Female,34095,0,32.0,United-States,<=50K
107,30.0,Private,194901.0,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40.0,United-States,<=50K
108,31.0,Local-gov,189265.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
109,42.0,Private,124692.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,<=50K
110,24.0,Private,432376.0,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40.0,United-States,<=50K
111,38.0,Private,65324.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,>50K
112,56.0,Self-emp-not-inc,335605.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50.0,Canada,>50K
113,28.0,Private,377869.0,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25.0,United-States,<=50K
114,36.0,Private,102864.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40.0,United-States,<=50K
115,53.0,Private,95647.0,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50.0,United-States,<=50K
116,56.0,Self-emp-inc,303090.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50.0,United-States,<=50K
117,49.0,Local-gov,197371.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40.0,United-States,>50K
118,55.0,Private,247552.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56.0,United-States,<=50K
119,22.0,Private,102632.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41.0,United-States,<=50K
120,21.0,Private,199915.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40.0,United-States,<=50K
121,40.0,Private,118853.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60.0,United-States,<=50K
122,30.0,Private,77143.0,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40.0,Germany,<=50K
123,29.0,State-gov,267989.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,>50K
124,19.0,Private,301606.0,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,35.0,United-States,<=50K
125,47.0,Private,287828.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40.0,United-States,>50K
126,20.0,Private,111697.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28.0,United-States,<=50K
127,31.0,Private,114937.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,>50K
128,35.0,,129305.0,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40.0,United-States,<=50K
129,39.0,Private,365739.0,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
130,28.0,Private,69621.0,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,60.0,United-States,<=50K
131,24.0,Private,43323.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40.0,United-States,<=50K
132,38.0,Self-emp-not-inc,120985.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35.0,United-States,<=50K
133,37.0,Private,254202.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50.0,United-States,<=50K
134,46.0,Private,146195.0,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36.0,United-States,<=50K
135,38.0,Federal-gov,125933.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,Iran,>50K
136,43.0,Self-emp-not-inc,56920.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60.0,United-States,<=50K
137,27.0,Private,163127.0,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35.0,United-States,<=50K
138,20.0,Private,34310.0,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20.0,United-States,<=50K
139,49.0,Private,81973.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40.0,United-States,>50K
140,61.0,Self-emp-inc,66614.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
141,27.0,Private,232782.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
142,19.0,Private,316868.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30.0,Mexico,<=50K
143,45.0,Private,196584.0,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40.0,United-States,>50K
144,70.0,Private,105376.0,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40.0,United-States,<=50K
145,31.0,Private,185814.0,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30.0,United-States,<=50K
146,22.0,Private,175374.0,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24.0,United-States,<=50K
147,36.0,Private,108293.0,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,24.0,United-States,<=50K
148,64.0,Private,181232.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40.0,United-States,<=50K
149,43.0,,174662.0,Some-college,10,Divorced,,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
150,47.0,Local-gov,186009.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38.0,Mexico,<=50K
151,34.0,Private,198183.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
152,33.0,Private,163003.0,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40.0,Philippines,<=50K
153,21.0,Private,296158.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35.0,United-States,<=50K
154,52.0,,252903.0,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,45.0,United-States,>50K
155,48.0,Private,187715.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46.0,United-States,<=50K
156,23.0,Private,214542.0,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
158,29.0,Private,191535.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60.0,United-States,<=50K
159,42.0,Private,228456.0,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50.0,United-States,<=50K
160,68.0,,38317.0,1st-4th,2,Divorced,,Not-in-family,White,Female,0,0,20.0,United-States,<=50K
161,25.0,Private,252752.0,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40.0,United-States,<=50K
162,44.0,Self-emp-inc,78374.0,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40.0,United-States,<=50K
163,28.0,Private,88419.0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40.0,England,<=50K
164,45.0,Self-emp-not-inc,201080.0,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,>50K
165,36.0,Private,207157.0,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40.0,Mexico,<=50K
166,39.0,Federal-gov,235485.0,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42.0,United-States,<=50K
167,46.0,State-gov,102628.0,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40.0,United-States,<=50K
168,18.0,Private,25828.0,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16.0,United-States,<=50K
169,66.0,Local-gov,54826.0,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20.0,United-States,<=50K
170,27.0,Private,124953.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40.0,United-States,<=50K
171,28.0,State-gov,175325.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,<=50K
172,51.0,Private,96062.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40.0,United-States,>50K
173,27.0,Private,428030.0,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
174,28.0,State-gov,149624.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,>50K
175,27.0,Private,253814.0,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25.0,United-States,<=50K
176,21.0,Private,312956.0,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40.0,United-States,<=50K
177,34.0,Private,448337.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
180,44.0,Local-gov,181344.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38.0,United-States,>50K
181,43.0,Private,114580.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
182,30.0,Private,448337.0,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45.0,United-States,<=50K
183,40.0,Private,286370.0,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,Mexico,>50K
184,37.0,Federal-gov,29054.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42.0,United-States,>50K
185,34.0,Private,304030.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40.0,United-States,<=50K
186,41.0,Self-emp-not-inc,143129.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
187,53.0,,135105.0,Bachelors,13,Divorced,,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
188,31.0,Private,99928.0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50.0,United-States,<=50K
190,38.0,Private,155222.0,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28.0,United-States,<=50K
191,24.0,Private,159567.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
192,41.0,Local-gov,448337.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40.0,United-States,<=50K
193,47.0,Private,120939.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45.0,United-States,<=50K
194,41.0,Federal-gov,130760.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24.0,United-States,<=50K
195,23.0,Private,197387.0,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40.0,Mexico,<=50K
196,36.0,Private,99374.0,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
197,40.0,Federal-gov,56795.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55.0,United-States,>50K
198,35.0,Private,138992.0,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40.0,United-States,>50K
199,24.0,Self-emp-not-inc,32921.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
200,26.0,Private,397317.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40.0,United-States,<=50K
201,19.0,,170653.0,HS-grad,9,Never-married,,Own-child,White,Male,0,0,40.0,Italy,<=50K
202,51.0,Private,259323.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
203,42.0,Local-gov,254817.0,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40.0,United-States,<=50K
204,37.0,State-gov,48211.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35.0,United-States,<=50K
205,18.0,Private,140164.0,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
206,36.0,Private,128757.0,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36.0,United-States,>50K
207,35.0,Private,36270.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60.0,United-States,<=50K
208,58.0,Self-emp-inc,210563.0,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35.0,United-States,>50K
210,44.0,Local-gov,160943.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40.0,United-States,<=50K
211,37.0,Private,208358.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
212,35.0,Private,153790.0,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40.0,United-States,<=50K
213,60.0,Private,85815.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40.0,United-States,<=50K
214,54.0,Self-emp-inc,125417.0,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,>50K
215,37.0,Private,448337.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60.0,United-States,>50K
216,50.0,Private,313321.0,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
217,38.0,Private,182609.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50.0,Poland,<=50K
218,45.0,Private,109434.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55.0,United-States,<=50K
219,25.0,Private,255004.0,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
220,31.0,Private,197860.0,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,<=50K
221,64.0,,187656.0,1st-4th,2,Divorced,,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
222,78.0,Private,51744.0,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40.0,United-States,<=50K
223,54.0,Private,176681.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20.0,United-States,<=50K
