,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
8524,9094,24.0,Local-gov,448337.0,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
28086,29957,35.0,Self-emp-not-inc,241998.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,<=50K
12512,13332,49.0,Federal-gov,203505.0,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
26956,28746,38.0,Private,172538.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50.0,United-States,>50K
26029,27758,44.0,Private,165815.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60.0,United-States,>50K
16246,17311,18.0,Private,114008.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35.0,United-States,<=50K
7493,7981,24.0,Private,249957.0,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,40.0,United-States,<=50K
21545,22970,51.0,Federal-gov,20795.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40.0,United-States,>50K
20117,21444,32.0,Private,210562.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
6514,6949,33.0,Private,111363.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,<=50K
17346,18480,28.0,Private,55360.0,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
8319,8879,34.0,Private,97723.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,>50K
28989,30924,39.0,Private,252327.0,7th-8th,4,Never-married,Other-service,Own-child,White,Male,0,0,40.0,Mexico,<=50K
4895,5203,17.0,Private,137042.0,10th,6,Never-married,Prof-specialty,Own-child,White,Male,0,0,20.0,United-States,<=50K
27691,29534,43.0,State-gov,424094.0,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
20967,22356,19.0,Private,69182.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,27.0,United-States,<=50K
19815,21119,53.0,Federal-gov,186087.0,HS-grad,9,Divorced,Tech-support,Unmarried,White,Male,0,0,40.0,United-States,<=50K
188,197,40.0,Federal-gov,56795.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55.0,United-States,>50K
9410,10035,61.0,,135285.0,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,2603,32.0,United-States,<=50K
19437,20714,49.0,Private,297884.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4064,0,50.0,United-States,<=50K
17113,18225,22.0,Private,67234.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,60.0,United-States,<=50K
20469,21826,51.0,Private,197656.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45.0,United-States,>50K
24927,26578,21.0,Private,169699.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
19277,20535,35.0,Local-gov,300681.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,7298,0,35.0,United-States,>50K
11083,11824,50.0,Local-gov,20795.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,>50K
13580,14478,47.0,State-gov,80282.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45.0,United-States,<=50K
2367,2520,36.0,Self-emp-not-inc,233533.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60.0,United-States,>50K
781,821,31.0,Private,171871.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,46.0,United-States,<=50K
21067,22463,24.0,Private,208882.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
29735,31715,22.0,State-gov,124942.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,45.0,United-States,<=50K
14175,15112,44.0,Federal-gov,102238.0,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40.0,United-States,<=50K
5943,6323,25.0,Private,55718.0,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,25.0,United-States,<=50K
23080,24611,46.0,Private,191204.0,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Female,0,0,40.0,United-States,<=50K
3972,4218,24.0,Private,280134.0,10th,6,Never-married,Sales,Not-in-family,White,Male,0,0,49.0,El-Salvador,<=50K
29779,31763,39.0,Private,132879.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
26529,28287,43.0,Self-emp-not-inc,52498.0,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,50.0,United-States,<=50K
12984,13839,47.0,Private,168211.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44.0,United-States,<=50K
30431,32465,66.0,Private,269665.0,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,25.0,United-States,<=50K
15860,16897,40.0,Private,219266.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50.0,United-States,>50K
29979,31976,40.0,Private,259307.0,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
17483,18622,70.0,,118630.0,Assoc-voc,11,Widowed,,Unmarried,White,Female,0,0,35.0,United-States,<=50K
15272,16279,26.0,Private,57512.0,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,48.0,United-States,<=50K
9258,9875,31.0,Local-gov,331126.0,Bachelors,13,Never-married,Protective-serv,Own-child,Black,Male,0,0,48.0,United-States,<=50K
27524,29350,18.0,Federal-gov,280728.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,32.0,United-States,<=50K
25588,27283,46.0,Federal-gov,330901.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40.0,United-States,<=50K
8822,9411,23.0,Private,262744.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40.0,United-States,<=50K
7546,8035,48.0,Private,240917.0,11th,7,Separated,Other-service,Not-in-family,Black,Female,0,0,35.0,United-States,<=50K
4816,5121,50.0,Private,71417.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40.0,United-States,>50K
8892,9483,33.0,Private,104509.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
7178,7647,29.0,Private,265638.0,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
7950,8475,47.0,Private,44216.0,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45.0,United-States,<=50K
25645,27344,30.0,Private,437825.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,20.0,Peru,<=50K
4336,4611,41.0,Private,147314.0,HS-grad,9,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,50.0,United-States,<=50K
26215,27956,37.0,Private,324947.0,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,<=50K
17287,18416,24.0,Private,32921.0,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,50.0,United-States,<=50K
24500,26128,44.0,Federal-gov,251305.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,>50K
22272,23754,33.0,Local-gov,152351.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,3908,0,40.0,United-States,<=50K
2336,2487,55.0,Private,145214.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
9593,10236,33.0,State-gov,167474.0,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,United-States,<=50K
17560,18706,73.0,Self-emp-not-inc,336007.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,<=50K
23608,25168,21.0,Private,75763.0,Some-college,10,Married-civ-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,0,0,40.0,United-States,<=50K
7581,8074,35.0,State-gov,177974.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,>50K
5761,6130,51.0,Private,332243.0,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
3527,3743,29.0,Private,31166.0,HS-grad,9,Divorced,Prof-specialty,Not-in-family,Other,Female,0,0,30.0,Germany,<=50K
15157,16160,62.0,Federal-gov,177295.0,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
4191,4457,31.0,State-gov,93589.0,HS-grad,9,Divorced,Protective-serv,Own-child,Other,Male,0,0,40.0,United-States,<=50K
8723,9305,28.0,Private,162343.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40.0,Puerto-Rico,<=50K
6806,7259,30.0,Private,231263.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40.0,United-States,<=50K
7620,8116,41.0,Self-emp-not-inc,355918.0,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Male,0,0,35.0,United-States,<=50K
13310,14187,31.0,Private,59496.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50.0,United-States,<=50K
12978,13832,53.0,Private,149217.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,Puerto-Rico,<=50K
21764,23205,29.0,State-gov,240738.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,>50K
24325,25945,39.0,Local-gov,316582.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,55.0,United-States,<=50K
2587,2755,24.0,Private,211345.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40.0,Mexico,<=50K
30255,32273,24.0,Private,206008.0,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Black,Male,0,0,20.0,United-States,<=50K
17582,18728,58.0,Local-gov,34878.0,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
16886,17990,31.0,Private,194293.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,2463,0,38.0,United-States,<=50K
12852,13697,33.0,Private,154120.0,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,45.0,United-States,<=50K
8697,9277,24.0,Federal-gov,29591.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,40.0,United-States,<=50K
26071,27802,19.0,Private,268524.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,15.0,United-States,<=50K
30385,32417,20.0,Private,227778.0,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,56.0,United-States,<=50K
25113,26776,19.0,,309284.0,Some-college,10,Never-married,,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
21136,22534,21.0,Private,121407.0,Assoc-voc,11,Never-married,Other-service,Own-child,White,Female,0,0,36.0,United-States,<=50K
10768,11487,54.0,State-gov,187686.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,38.0,United-States,<=50K
16240,17305,52.0,Private,169785.0,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50.0,United-States,<=50K
25581,27276,47.0,Private,170850.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,48.0,United-States,<=50K
3956,4198,26.0,Private,229523.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,56.0,United-States,<=50K
3285,3491,33.0,Private,323619.0,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
1352,1430,49.0,Private,147322.0,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40.0,Peru,<=50K
785,825,57.0,Private,34269.0,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,653,42.0,United-States,>50K
21316,22725,23.0,Private,216811.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,16.0,United-States,<=50K
203,213,60.0,Private,85815.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40.0,United-States,<=50K
10851,11581,56.0,Private,208431.0,Some-college,10,Widowed,Exec-managerial,Not-in-family,Black,Female,0,0,32.0,United-States,<=50K
16369,17447,21.0,Private,152246.0,Some-college,10,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,40.0,Philippines,<=50K
25341,27017,51.0,Private,123429.0,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,White,Male,0,0,30.0,United-States,<=50K
10554,11260,54.0,Private,225599.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7298,0,40.0,India,>50K
3361,3568,38.0,Private,283122.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,>50K
16186,17247,19.0,,32477.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,25.0,United-States,<=50K
10903,11636,37.0,Private,215392.0,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
11783,12560,34.0,Private,303187.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40.0,,>50K
23243,24784,18.0,Self-emp-not-inc,157131.0,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
11093,11836,49.0,Federal-gov,448337.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40.0,United-States,>50K
19231,20487,46.0,Private,57929.0,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,25.0,United-States,<=50K
26000,27728,42.0,Private,257328.0,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,0,40.0,United-States,<=50K
10067,10742,37.0,Private,231180.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
13943,14867,29.0,Private,136077.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,>50K
29547,31512,27.0,Private,147340.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,50.0,United-States,>50K
6026,6414,37.0,Private,305597.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45.0,United-States,>50K
340,358,42.0,Private,111949.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35.0,United-States,<=50K
2309,2457,39.0,Private,105813.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
25851,27562,44.0,Private,198270.0,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,43.0,United-States,<=50K
5700,6062,26.0,Private,43408.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40.0,United-States,<=50K
23481,25033,37.0,Private,122493.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45.0,United-States,<=50K
822,864,33.0,Private,80945.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
15263,16270,61.0,Private,199198.0,7th-8th,4,Widowed,Other-service,Not-in-family,Black,Female,0,0,21.0,United-States,<=50K
1071,1133,37.0,Private,189382.0,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,38.0,United-States,<=50K
25013,26672,30.0,Private,206325.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45.0,United-States,<=50K
15212,16217,51.0,Private,189762.0,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,15.0,United-States,>50K
12442,13259,41.0,Private,29591.0,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,30.0,United-States,<=50K
25868,27580,26.0,Private,89326.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
1493,1587,28.0,Self-emp-not-inc,125442.0,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40.0,United-States,<=50K
27340,29152,20.0,Private,289405.0,Some-college,10,Never-married,Sales,Own-child,White,Male,0,1602,15.0,United-States,<=50K
19904,21214,47.0,Federal-gov,44257.0,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,60.0,United-States,>50K
27980,29842,35.0,,374716.0,9th,5,Married-civ-spouse,,Wife,White,Female,0,0,35.0,United-States,<=50K
3980,4226,32.0,Private,153963.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,35.0,United-States,<=50K
16608,17702,62.0,Self-emp-inc,354075.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,>50K
6946,7403,59.0,Private,115414.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,>50K
30399,32431,51.0,Private,274502.0,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,48.0,United-States,<=50K
23863,25442,52.0,Local-gov,378045.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45.0,United-States,<=50K
20968,22357,51.0,Private,219599.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40.0,United-States,<=50K
10590,11298,43.0,Private,85995.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
6532,6968,31.0,Private,118161.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,United-States,<=50K
4860,5167,49.0,Local-gov,194895.0,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7298,0,40.0,United-States,>50K
28379,30272,23.0,Private,256278.0,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Other-relative,Other,Female,0,0,30.0,El-Salvador,<=50K
25691,27391,24.0,Private,203027.0,Assoc-acdm,12,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40.0,United-States,<=50K
29072,31012,59.0,Private,157932.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
30435,32471,28.0,Private,185647.0,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,50.0,United-States,<=50K
14598,15558,40.0,Private,104196.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40.0,United-States,>50K
2202,2343,21.0,Private,191460.0,11th,7,Never-married,Other-service,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
25205,26874,40.0,Private,126701.0,9th,5,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
19776,21080,48.0,Private,99127.0,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45.0,United-States,<=50K
13504,14397,52.0,Self-emp-inc,77392.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60.0,United-States,<=50K
11142,11885,40.0,Private,220589.0,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
14970,15960,65.0,,198019.0,HS-grad,9,Widowed,,Not-in-family,White,Female,0,0,35.0,United-States,<=50K
25533,27224,57.0,Local-gov,190561.0,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,0,30.0,United-States,<=50K
29470,31433,25.0,Private,181576.0,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,55.0,United-States,<=50K
10216,10899,30.0,Private,261023.0,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,50.0,United-States,<=50K
6936,7393,48.0,Private,194772.0,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40.0,United-States,>50K
29092,31032,22.0,,219122.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,40.0,United-States,<=50K
669,706,40.0,Private,229148.0,12th,8,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40.0,Jamaica,<=50K
13121,13986,40.0,Private,95639.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40.0,United-States,<=50K
870,916,43.0,Private,158926.0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,50.0,South,<=50K
23268,24809,28.0,,30237.0,Some-college,10,Never-married,,Unmarried,White,Female,0,0,40.0,United-States,<=50K
15414,16432,18.0,Private,267965.0,11th,7,Never-married,Sales,Not-in-family,White,Female,0,0,15.0,United-States,<=50K
9445,10074,35.0,Private,208378.0,12th,8,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40.0,United-States,<=50K
28407,30301,23.0,Private,168009.0,10th,6,Married-civ-spouse,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,0,0,40.0,Vietnam,<=50K
21699,23135,17.0,Private,159299.0,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20.0,United-States,<=50K
24683,26320,45.0,Private,206459.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,United-States,<=50K
30369,32400,53.0,Local-gov,186303.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1887,40.0,United-States,>50K
9454,10084,38.0,Private,238721.0,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,40.0,United-States,<=50K
25497,27185,28.0,Self-emp-not-inc,294398.0,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
16881,17985,44.0,State-gov,96249.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3411,0,40.0,United-States,<=50K
4063,4316,65.0,Self-emp-not-inc,225473.0,Some-college,10,Widowed,Craft-repair,Not-in-family,White,Female,0,0,35.0,United-States,<=50K
30197,32212,45.0,Private,178416.0,Assoc-voc,11,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
4787,5091,35.0,Private,170263.0,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40.0,United-States,<=50K
15701,16732,32.0,Private,448337.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
